state,district,pincode,year,age_0_5,age_5_17,age_18_greater,total_enrollment,demo_age_5_17,demo_age_17_plus,total_demo_updates,bio_age_5_17,bio_age_17_plus,total_bio_updates,update_ratio,total_activities
100000,100000,100000,2025.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Andaman And Nicobar Islands,Andamans,744101,2025.0,1.0,1.0,0.0,2.0,2.0,179.0,181.0,136.0,979.0,1115.0,557.5,1298.0
Andaman And Nicobar Islands,Andamans,744102,2025.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Andaman And Nicobar Islands,Andamans,744103,2025.0,4.0,1.0,0.0,5.0,1.0,68.0,69.0,33.0,68.0,101.0,20.2,175.0
Andaman And Nicobar Islands,Andamans,744105,2025.0,1.0,0.0,0.0,1.0,0.0,65.0,65.0,21.0,64.0,85.0,85.0,151.0
Andaman And Nicobar Islands,Andamans,744106,2025.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,21.0,72.0,93.0,93.0,125.0
Andaman And Nicobar Islands,Andamans,744107,2025.0,5.0,0.0,0.0,5.0,0.0,12.0,12.0,5.0,20.0,25.0,5.0,42.0
Andaman And Nicobar Islands,Andamans,744112,2025.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,6.0,14.0,20.0,20.0,30.0
Andaman And Nicobar Islands,Andamans,744202,2025.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,4.0
Andaman And Nicobar Islands,Andamans,744206,2025.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,2.0,9.0,11.0,11.0,23.0
Andaman And Nicobar Islands,Andamans,744207,2025.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Andaman And Nicobar Islands,Andamans,744211,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Andaman And Nicobar Islands,Nicobar,744301,2025.0,29.0,5.0,0.0,34.0,36.0,517.0,553.0,261.0,301.0,562.0,16.529411764705884,1149.0
Andaman And Nicobar Islands,Nicobar,744302,2025.0,0.0,0.0,0.0,0.0,3.0,11.0,14.0,130.0,91.0,221.0,221.0,235.0
Andaman And Nicobar Islands,Nicobar,744303,2025.0,2.0,0.0,0.0,2.0,4.0,26.0,30.0,352.0,233.0,585.0,292.5,617.0
Andaman And Nicobar Islands,Nicobar,744304,2025.0,1.0,0.0,0.0,1.0,2.0,5.0,7.0,74.0,55.0,129.0,129.0,137.0
Andaman And Nicobar Islands,Nicobars,744301,2025.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0
Andaman And Nicobar Islands,North And Middle Andaman,744201,2025.0,2.0,1.0,0.0,3.0,0.0,49.0,49.0,287.0,328.0,615.0,205.0,667.0
Andaman And Nicobar Islands,North And Middle Andaman,744202,2025.0,22.0,0.0,0.0,22.0,73.0,1112.0,1185.0,993.0,859.0,1852.0,84.18181818181819,3059.0
Andaman And Nicobar Islands,North And Middle Andaman,744203,2025.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,4.0,7.0,7.0,9.0
Andaman And Nicobar Islands,North And Middle Andaman,744204,2025.0,9.0,0.0,0.0,9.0,1.0,56.0,57.0,458.0,429.0,887.0,98.55555555555556,953.0
Andaman And Nicobar Islands,North And Middle Andaman,744205,2025.0,9.0,0.0,0.0,9.0,0.0,65.0,65.0,658.0,418.0,1076.0,119.55555555555556,1150.0
Andaman And Nicobar Islands,North And Middle Andaman,744209,2025.0,3.0,0.0,0.0,3.0,1.0,28.0,29.0,232.0,141.0,373.0,124.33333333333333,405.0
Andaman And Nicobar Islands,North And Middle Andaman,744210,2025.0,1.0,0.0,0.0,1.0,0.0,15.0,15.0,146.0,109.0,255.0,255.0,271.0
Andaman And Nicobar Islands,North And Middle Andaman,744211,2025.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Andaman And Nicobar Islands,South Andaman,744101,2025.0,12.0,0.0,0.0,12.0,38.0,185.0,223.0,830.0,462.0,1292.0,107.66666666666667,1527.0
Andaman And Nicobar Islands,South Andaman,744102,2025.0,9.0,1.0,0.0,10.0,18.0,98.0,116.0,286.0,210.0,496.0,49.6,622.0
Andaman And Nicobar Islands,South Andaman,744103,2025.0,7.0,0.0,0.0,7.0,52.0,426.0,478.0,1075.0,605.0,1680.0,240.0,2165.0
Andaman And Nicobar Islands,South Andaman,744104,2025.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,52.0,29.0,81.0,81.0,87.0
Andaman And Nicobar Islands,South Andaman,744105,2025.0,12.0,0.0,0.0,12.0,68.0,518.0,586.0,1133.0,714.0,1847.0,153.91666666666666,2445.0
Andaman And Nicobar Islands,South Andaman,744106,2025.0,6.0,1.0,0.0,7.0,18.0,122.0,140.0,268.0,199.0,467.0,66.71428571428571,614.0
Andaman And Nicobar Islands,South Andaman,744107,2025.0,5.0,0.0,0.0,5.0,21.0,61.0,82.0,402.0,193.0,595.0,119.0,682.0
